Count,Zipcode,Type,Owner Occ?,Purchase Down %,Purchase Amt,Amount Mortgaged,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Median Gross Rent
1,11201,CND,0,20.0,1330000,1064000.0,20748.0,13300.0,11970.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,1195000,0.0,0.0,11950.0,10755.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,9.0,1315000,1200069.0,23401.3455,13150.0,11835.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,745000,521500.0,10169.25,0.0,10430.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,66.0,1470000,500000.0,9750.0,14700.0,13229.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,963000,0.0,0.0,0.0,13482.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,35.0,1540000,1001000.0,19519.5,15400.0,13859.999999999998,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,999999,699000.0,13630.5,0.0,13999.986,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,28.0,895000,647300.0,12622.35,0.0,12530.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,21.0,815000,647200.0,12620.4,0.0,11410.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,815000,570000.0,11115.0,0.0,11410.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,36.0,780000,500000.0,9750.0,0.0,10920.0,69755.0,35.1,163310.0,3110.0
1,11217,CND,0,58.0,1320000,550000.0,10725.0,13200.0,11880.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,100.0,895000,0.0,0.0,0.0,12530.0,43045.0,35.8,152735.0,2651.0
1,11217,CND,0,20.0,2250000,1800000.0,35100.0,22500.0,20250.0,43045.0,35.8,152735.0,2651.0
1,11201,CND,0,20.0,615000,492000.0,8856.0,0.0,8610.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,22.0,835000,650000.0,12675.0,0.0,11690.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,46.0,533500,290000.0,5220.0,0.0,7469.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,30.0,965000,675500.0,13172.25,0.0,13510.0,69755.0,35.1,163310.0,3110.0
1,11201,CND,0,100.0,2617000,0.0,0.0,26170.0,23553.0,69755.0,35.1,163310.0,3110.0
