Type,Address,ZIP,Purchase Amt,Purchase Down %,1st Amount,2nd Amount,CLTV %,Purchase Date,Purchase Type,City,Owner Occ?,Listed for Sale?
SFR,2128 PROSPECT AVE,10457,330000,13,273699,15000,44,10/11/2016,Market,BRONX,1,0
SFR,2042 VALENTINE AVE,10457,450000,20,400000,,67,2/14/2018,Market,BRONX,1,0
SFR,2044 VALENTINE AVE,10457,493000,2,484070,,79,12/8/2020,Market,BRONX,1,0
SFR,2198 VALENTINE AVE,10457,390000,1,385080,,92,8/14/2023,Market,BRONX,1,0
SFR,2097 TIEBOUT AVE,10457,452000,0,510157,,99,4/28/2022,Market,BRONX,1,0
SFR,2222 VALENTINE AVE,10457,398000,3,384716,,58,3/13/2017,Market,BRONX,0,0
SFR,2247 TIEBOUT AVE,10457,550000,2,540038,,98,10/23/2023,Market,BRONX,1,0
SFR,2039 VALENTINE AVE,10457,525000,10,472000,,87,6/13/2023,Market,BRONX,0,0
SFR,2080 ANTHONY AVE,10457,1025000,100,1427000,,73,3/14/2022,Market,BRONX,1,0
SFR,2159 WALTON AVE,10453,495000,10,445500,,77,2/10/2021,Market,BRONX,1,0
SFR,60 BUCHANAN PL,10453,765000,,420000,,63,11/9/2023,NonMarket-Family,BRONX,0,0
SFR,2127 HARRISON AVE,10453,575000,25,287000,2790000,553,12/27/2021,Market,BRONX,0,0
SFR,2238 ANDREWS AVE,10453,425000,20,340000,,33,2/5/2015,Market,BRONX,0,0
SFR,2229 DR MARTIN L KING JR BLVD,10453,570000,5,,,0,9/19/2018,Market,BRONX,0,0
SFR,2215 DR MARTIN L KING JR BLVD,10453,465000,31,320000,,54,1/29/2019,Market,BRONX,0,0
SFR,153 W 179TH ST,10453,900000,15,765000,,83,6/1/2023,Market,BRONX,0,0
SFR,1941 ANDREWS AVE,10453,735000,20,588000,,69,10/7/2022,Market,BRONX,1,0
SFR,171 W 179TH ST,10453,760000,20,608000,12498,64,9/24/2018,Market,BRONX,0,0
SFR,211 W 179TH ST,10453,739000,3,714285,,84,6/2/2021,Market,BRONX,1,0
SFR,1931 HENNESSY PL,10453,350000,5,331250,,35,4/17/2015,Market,BRONX,1,0
SFR,1917 HENNESSY PL,10453,355000,2,365000,63033,56,1/7/2016,Market,BRONX,1,0
