Address,Count,Zipcode,Type,Owner Occ?,Purchase Amt,Amount Mortgaged,% Borrowed,Mtg Tx Pd,Mansion Tax Pd,New Sales Tax Amount,Population,Median Age,Household Income,Per Capita Income,Median Gross Rent,Poverty Count,Poverty Rate
200 CHAMBERS ST 6J,1,10007,CND,0.0,1335000.0,0.0,0.0,0.0,13350.0,12015.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
200 CHAMBERS ST 3P,1,10007,CND,0.0,1372500.0,0.0,0.0,0.0,13725.0,12352.499999999998,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
200 CHAMBERS ST 3R,1,10007,CND,0.0,825000.0,618750.0,75.0,12065.625,0.0,11550.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
200 CHAMBERS ST 2T,1,10007,CND,0.0,975000.0,726200.0,74.48205128205129,14160.9,0.0,13650.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
200 CHAMBERS ST 5T,1,10007,CND,0.0,945000.0,275000.0,29.100529100529094,4950.0,0.0,13230.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 5B,1,10007,CND,0.0,7200000.0,0.0,0.0,0.0,72000.0,64799.99999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 5K,1,10007,CND,0.0,8550000.0,0.0,0.0,0.0,85500.0,76950.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 9E,1,10007,CND,0.0,1720000.0,0.0,0.0,0.0,17200.0,15479.999999999998,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 11L,1,10007,CND,0.0,3771050.0,0.0,0.0,0.0,37710.5,33939.45,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 590,1,10007,CND,0.0,1915000.0,1400000.0,73.10704960835508,27300.0,19150.0,17235.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 950,1,10007,CND,0.0,2400000.0,0.0,0.0,0.0,24000.0,21600.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 1180,1,10007,CND,0.0,2800000.0,2240000.0,80.0,43680.0,28000.0,25200.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 1220,1,10007,CND,0.0,6100000.0,0.0,0.0,0.0,61000.0,54899.99999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 1850,1,10007,CND,0.0,4350000.0,1264000.0,29.05747126436782,24648.0,43500.0,39150.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2210,1,10007,CND,0.0,5862500.0,3060625.0,52.20682302771855,59682.1875,58625.0,52762.49999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2350,1,10007,CND,0.0,4350000.0,0.0,0.0,0.0,43500.0,39150.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2330,1,10007,CND,0.0,3225000.0,0.0,0.0,0.0,32250.0,29025.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2410,1,10007,CND,0.0,5257500.0,0.0,0.0,0.0,52575.0,47317.5,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2660,1,10007,CND,0.0,4750000.0,0.0,0.0,0.0,47500.0,42750.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2830,1,10007,CND,0.0,3275000.0,0.0,0.0,0.0,32750.0,29475.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
101 WARREN ST 2820,1,10007,CND,0.0,6150000.0,3690000.0,60.0,71955.0,61500.0,55349.99999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
111 MURRAY ST 41A,1,10007,CND,0.0,6250000.0,0.0,0.0,0.0,62500.0,56249.99999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
16 JAY ST 1,1,10013,CND,0.0,6000000.0,3000000.0,50.0,58500.0,60000.0,53999.99999999999,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
119 CHAMBERS ST 4,1,10007,CND,0.0,3100000.0,0.0,0.0,0.0,31000.0,27900.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
119 CHAMBERS ST 2,1,10007,CND,0.0,3200000.0,0.0,0.0,0.0,32000.0,28800.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
100 READE ST 2C,1,10013,CND,0.0,2085000.0,229969.0,11.02968824940048,4139.442,20850.0,18765.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
100 READE ST 6D,1,10013,CND,0.0,4850000.0,1350000.0,27.835051546391757,26325.0,48500.0,43650.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
100 READE ST 6C,1,10013,CND,0.0,4850000.0,1350000.0,27.835051546391757,26325.0,48500.0,43650.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
58 THOMAS ST 3,1,10013,CND,0.0,2400000.0,1800000.0,75.0,35100.0,24000.0,21600.0,29453.0,40.2,150675.0,157378.0,2113.0,2762.0,9.377652531151323
77 READE ST 2A,1,10007,CND,0.0,5379000.0,2250000.0,41.82933630786392,43875.0,53790.0,48410.99999999999,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
57 READE ST 6F,1,10007,CND,0.0,1917337.0,0.0,0.0,0.0,19173.37,17256.033,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
57 READE ST 8F,1,10007,CND,0.0,2375000.0,0.0,0.0,0.0,23750.0,21375.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
57 READE ST 14A,1,10007,CND,0.0,2270000.0,0.0,0.0,0.0,22700.0,20430.0,7506.0,34.7,250001.0,191709.0,3501.0,152.0,2.025046629363176
